Variable,Coefficient,Absolute Coefficient
Full Art Legend,1.1350812149485647,1.1350812149485647
Full Art Opus XII,1.0538637799308954,1.0538637799308954
Full Art Normal,-0.668195054381754,0.668195054381754
Full Art,0.6293317343196815,0.6293317343196815
Legend Opus I,0.615195323651627,0.615195323651627
Full Art Opus XI,0.5837605535864706,0.5837605535864706
Legend,0.5754954754753828,0.5754954754753828
Normal Legend,-0.554750690526719,0.554750690526719
log(Cost) Legend,0.5465100102986294,0.5465100102986294
Legend Opus XI,0.5040203797629392,0.5040203797629392
Legend Opus XII,0.4585016618503407,0.4585016618503407
Full Art Desc Length,0.443371466979895,0.443371466979895
Desc Length Legend,0.43409627653761507,0.43409627653761507
Legend Opus VIII,0.36964715412013843,0.36964715412013843
Normal Opus I,-0.36714729945502905,0.36714729945502905
Full Art log(Cost),0.36484552079383414,0.36484552079383414
Full Art Opus X,0.32222543769215023,0.32222543769215023
Full Art Opus IX,0.3155720245623391,0.3155720245623391
Legend Opus VI,0.3044156365929817,0.3044156365929817
Full Art FF: Promo Cards,-0.29773288005186893,0.29773288005186893
Full Art Power,-0.2927067309573133,0.2927067309573133
Legend FF: Promo Cards,-0.25957699009808344,0.25957699009808344
Opus I,0.25129542735792293,0.25129542735792293
Legend Opus VII,0.24810881633757487,0.24810881633757487
Has EX Burst FF: Promo Cards,0.23844310114842865,0.23844310114842865
log(Cost) Normal,-0.23461902187536768,0.23461902187536768
log(Cost) Opus I,0.22066576930579795,0.22066576930579795
log(Cost) Opus XII,0.21796380959459088,0.21796380959459088
Desc Length Normal,-0.20404081761618026,0.20404081761618026
Full Art Hero,0.19725610505601865,0.19725610505601865
Normal,-0.1873371784407178,0.1873371784407178
Full Art Starter,-0.18101663674211596,0.18101663674211596
Rare Opus I,0.17164738228437926,0.17164738228437926
Full Art Rare,0.16939219795157526,0.16939219795157526
Power Opus XII,-0.16559171767439257,0.16559171767439257
Ability Count Legend,0.16250321517435293,0.16250321517435293
log(Cost) Power,-0.1522170720238573,0.1522170720238573
Normal Starter,-0.15127131851632825,0.15127131851632825
Desc Length Starter,0.15060472116811488,0.15060472116811488
Ability Count FF: Promo Cards,0.13835937158014505,0.13835937158014505
Hero FF: Promo Cards,0.13623296190924228,0.13623296190924228
Power Legend,0.12949779533133657,0.12949779533133657
Has EX Burst Legend,0.12022979169357431,0.12022979169357431
Hero Opus XI,-0.1179194508254292,0.1179194508254292
Power Opus XI,0.11077826716227152,0.11077826716227152
Legend Opus V,0.11030275945708785,0.11030275945708785
log(Cost) Starter,0.10981660558617551,0.10981660558617551
Ability Count Normal,-0.10906359182169288,0.10906359182169288
Starter Opus X,0.10703016849168372,0.10703016849168372
Has EX Burst Promo,-0.10644952848209438,0.10644952848209438
Desc Length,0.10626615545361805,0.10626615545361805
Hero Opus I,0.10503807225539286,0.10503807225539286
Ability Count Opus I,0.10372888368996919,0.10372888368996919
Desc Length Opus VII,0.10369499472364532,0.10369499472364532
Desc Length Opus XII,-0.10361917577607088,0.10361917577607088
Power Promo,0.10189763738806788,0.10189763738806788
Desc Length Opus VIII,0.09881308745048888,0.09881308745048888
Full Art Promo,-0.09849842953063707,0.09849842953063707
Has EX Burst Starter,0.09819646998899832,0.09819646998899832
Legend Opus IX,0.09753923113350135,0.09753923113350135
Starter,0.09404981884967145,0.09404981884967145
log(Cost) Desc Length,0.09260896701576848,0.09260896701576848
Has EX Burst Desc Length,0.09219328401651422,0.09219328401651422
Desc Length Opus I,0.09090480936779344,0.09090480936779344
Power Opus VIII,0.0894294328486099,0.0894294328486099
Ability Count Opus VI,-0.08912572125862848,0.08912572125862848
Has EX Burst Normal,-0.08514414082181182,0.08514414082181182
Starter Opus XI,0.0848547920892535,0.0848547920892535
Has EX Burst Ability Count,0.08298666593397733,0.08298666593397733
Hero Opus IX,0.08272976376512951,0.08272976376512951
Ability Count Desc Length,-0.0826616754882311,0.0826616754882311
Power Opus IX,-0.08260521065923604,0.08260521065923604
Has EX Burst Opus I,-0.08164250279628021,0.08164250279628021
Full Art Ability Count,0.08007673652071805,0.08007673652071805
log(Cost),0.07872896030512519,0.07872896030512519
Desc Length Hero,0.07806991195463336,0.07806991195463336
Normal Opus IV,0.07779103836406942,0.07779103836406942
FF: Promo Cards,0.07706176328327485,0.07706176328327485
Desc Length Rare,-0.07702788382824054,0.07702788382824054
Normal Hero,0.07694283879462421,0.07694283879462421
log(Cost) FF: Promo Cards,-0.07671808215108569,0.07671808215108569
Power,-0.07662337857861068,0.07662337857861068
log(Cost) Opus IX,-0.0762708966194215,0.0762708966194215
Has EX Burst Opus IX,0.07618796841094647,0.07618796841094647
Starter Opus VIII,0.07474678268004484,0.07474678268004484
log(Cost) Opus IV,-0.07414344922909342,0.07414344922909342
Desc Length Opus X,0.07281965567866855,0.07281965567866855
Opus XII,0.07280656649072263,0.07280656649072263
Legend Opus III,-0.07212364514991132,0.07212364514991132
Has EX Burst log(Cost),-0.07176495692495871,0.07176495692495871
Desc Length Opus IX,0.07156485285528692,0.07156485285528692
Ability Count Opus VII,0.07077930002386487,0.07077930002386487
log(Cost) Opus X,-0.0699221371233853,0.0699221371233853
Opus VII,-0.06987072547438047,0.06987072547438047
log(Cost) Opus VII,0.06888017075244997,0.06888017075244997
Ability Count Power,0.06622912139806264,0.06622912139806264
log(Cost) Opus VI,0.06596809689303026,0.06596809689303026
Promo,0.0656580008284441,0.0656580008284441
Promo FF: Promo Cards,0.0656580008284441,0.0656580008284441
Power Normal,-0.06336105379744086,0.06336105379744086
Rare Opus XII,0.06188726467646889,0.06188726467646889
Hero Opus XII,0.06038251842701762,0.06038251842701762
Has EX Burst Opus III,0.05868879853472411,0.05868879853472411
Has EX Burst Opus XII,-0.05797354174950239,0.05797354174950239
Has EX Burst Opus VI,-0.057930691594084927,0.057930691594084927
Power Starter,0.057768228692703774,0.057768228692703774
Desc Length Promo,-0.05742115834399359,0.05742115834399359
Power Hero,-0.056986646496840127,0.056986646496840127
Rare,0.05622834798525798,0.05622834798525798
Rare Opus VII,-0.05568792327305056,0.05568792327305056
Ability Count,-0.05497478758608135,0.05497478758608135
Normal Opus V,0.05479791562126915,0.05479791562126915
Desc Length Opus V,0.0546923202918173,0.0546923202918173
Full Art Has EX Burst,0.05468710933542259,0.05468710933542259
Hero Opus VII,-0.05399426799618876,0.05399426799618876
Legend Opus II,0.053661905295722054,0.053661905295722054
Hero,0.05219415528399027,0.05219415528399027
Normal Opus VI,0.05147524072665047,0.05147524072665047
Normal Opus VIII,-0.05063670150695174,0.05063670150695174
Has EX Burst Opus VII,-0.0501312638613773,0.0501312638613773
Starter Opus V,-0.049983461191609874,0.049983461191609874
Opus XI,-0.04934656389236004,0.04934656389236004
Ability Count Starter,-0.048380083923055886,0.048380083923055886
Hero Opus VIII,-0.048308295976458,0.048308295976458
Legend Opus IV,-0.047808968102566296,0.047808968102566296
Normal Opus III,0.04552191262897243,0.04552191262897243
Normal Promo,-0.04457541236568903,0.04457541236568903
Starter Opus VII,0.043334156164038413,0.043334156164038413
Power Opus I,-0.04293507150723011,0.04293507150723011
Ability Count Opus XII,-0.04273006982450667,0.04273006982450667
Starter Opus I,0.0417934820239744,0.0417934820239744
log(Cost) Rare,0.041565337015107555,0.041565337015107555
Normal Opus II,0.04116412733583283,0.04116412733583283
Ability Count Opus V,-0.04084049062596123,0.04084049062596123
log(Cost) Promo,0.04037416070133344,0.04037416070133344
Rare Opus V,-0.039649493246622335,0.039649493246622335
Power Opus V,-0.03916956684668597,0.03916956684668597
Ability Count Opus VIII,-0.03673226271978886,0.03673226271978886
Has EX Burst Hero,0.03619927411361647,0.03619927411361647
Ability Count Opus X,-0.035299266538269314,0.035299266538269314
Power Rare,-0.03505406278254369,0.03505406278254369
Normal Rare,0.033977207046532495,0.033977207046532495
Desc Length Opus II,0.03319359689460162,0.03319359689460162
Hero Opus II,0.032627052746139695,0.032627052746139695
Hero Opus IV,0.032406325259964675,0.032406325259964675
Has EX Burst Rare,-0.03152546878896085,0.03152546878896085
Normal Opus VII,-0.031148001196248828,0.031148001196248828
Ability Count Promo,0.030797578527492514,0.030797578527492514
Opus II,-0.02993523486014729,0.02993523486014729
Desc Length Opus XI,0.029792582428386515,0.029792582428386515
Normal Opus XII,-0.029511158280564706,0.029511158280564706
log(Cost) Hero,-0.02949172683499149,0.02949172683499149
Opus IV,-0.029314180276438652,0.029314180276438652
Has EX Burst Opus V,-0.028934649054375997,0.028934649054375997
Desc Length Opus III,-0.02853093580172301,0.02853093580172301
Starter Opus III,-0.027546388839474027,0.027546388839474027
log(Cost) Opus VIII,0.027511494692984084,0.027511494692984084
Power Opus X,0.026951536399097607,0.026951536399097607
Rare Opus X,-0.02634445848427472,0.02634445848427472
Hero Opus VI,-0.024237210616673978,0.024237210616673978
Has EX Burst Power,0.02401780556128666,0.02401780556128666
Power Opus VII,0.02365677433447589,0.02365677433447589
Normal Opus XI,-0.02357160567980849,0.02357160567980849
Ability Count Opus II,-0.022875982343346334,0.022875982343346334
Rare FF: Promo Cards,0.022571868869746138,0.022571868869746138
Normal Opus X,0.022456885800260257,0.022456885800260257
Power Opus II,-0.022453172308372946,0.022453172308372946
Opus III,-0.022156640372336157,0.022156640372336157
Rare Opus VIII,-0.022135425478566763,0.022135425478566763
Rare Opus III,0.021445469214714376,0.021445469214714376
Opus IX,-0.021368054486356203,0.021368054486356203
Power Opus VI,0.021355674259825982,0.021355674259825982
Power FF: Promo Cards,-0.020210266144052857,0.020210266144052857
Ability Count Opus XI,0.020022164808098306,0.020022164808098306
Opus VIII,-0.01892412757260957,0.01892412757260957
Ability Count Opus IX,-0.018694353235716006,0.018694353235716006
Opus V,-0.017220531046063903,0.017220531046063903
Rare Opus IV,-0.01716745634170004,0.01716745634170004
Power Opus III,0.016921843207005762,0.016921843207005762
Ability Count Rare,-0.016772431855947203,0.016772431855947203
Power Desc Length,0.016421545258158216,0.016421545258158216
Hero Opus V,-0.015740156088234245,0.015740156088234245
Ability Count Opus III,0.015444485475009586,0.015444485475009586
Has EX Burst Opus X,-0.013793437729818336,0.013793437729818336
Power Opus IV,0.013501758318148885,0.013501758318148885
Hero Opus X,-0.013183298650122365,0.013183298650122365
log(Cost) Opus III,-0.012708079417833095,0.012708079417833095
Opus VI,-0.012544555358691886,0.012544555358691886
Rare Opus IX,-0.012054378038185723,0.012054378038185723
Legend Opus X,0.012043703178349734,0.012043703178349734
Rare Opus VI,-0.011931265592602137,0.011931265592602137
Has EX Burst,0.011848696147559712,0.011848696147559712
log(Cost) Opus II,-0.011295480655877457,0.011295480655877457
log(Cost) Opus V,0.010826774968885965,0.010826774968885965
Has EX Burst Opus IV,-0.010709339170683785,0.010709339170683785
Has EX Burst Opus II,0.009037483865907928,0.009037483865907928
Opus X,0.008504806860617536,0.008504806860617536
log(Cost) Ability Count,-0.008273632854584101,0.008273632854584101
Normal Opus IX,0.007745052645974519,0.007745052645974519
Desc Length Opus VI,0.007744527291713599,0.007744527291713599
Rare Opus II,0.007152926579192025,0.007152926579192025
Hero Opus III,0.005718879687885201,0.005718879687885201
Desc Length FF: Promo Cards,0.004389156522279836,0.004389156522279836
Rare Opus XI,0.004318644800258342,0.004318644800258342
Has EX Burst Opus VIII,-0.0041953159366723974,0.0041953159366723974
Normal FF: Promo Cards,0.004161232563179172,0.004161232563179172
Desc Length Opus IV,0.00410607594409465,0.00410607594409465
log(Cost) Opus XI,-0.0027658970011548035,0.0027658970011548035
Ability Count Hero,-0.0011104913345936773,0.0011104913345936773
Ability Count Opus IV,-0.0005019591082839475,0.0005019591082839475
Has EX Burst Opus XI,-0.00018893462829874114,0.00018893462829874114
Opus III Opus VII,0.0,0.0
Opus IV Opus VI,0.0,0.0
Opus IV Opus V,0.0,0.0
Opus IV Opus IX,0.0,0.0
Opus X Opus XI,0.0,0.0
Opus X Opus XII,0.0,0.0
Opus III Opus XII,0.0,0.0
Opus III Opus XI,0.0,0.0
Opus III Opus X,0.0,0.0
Opus III Opus VIII,0.0,0.0
Opus VI Opus VIII,0.0,0.0
Opus III Opus VI,0.0,0.0
Opus III Opus IX,0.0,0.0
Opus III Opus IV,0.0,0.0
Opus II Opus XII,0.0,0.0
Opus II Opus XI,0.0,0.0
Opus II Opus X,0.0,0.0
Opus II Opus VIII,0.0,0.0
Opus II Opus VII,0.0,0.0
Opus II Opus VI,0.0,0.0
Opus II Opus V,0.0,0.0
Opus II Opus IX,0.0,0.0
Opus II Opus IV,0.0,0.0
Opus II Opus III,0.0,0.0
Opus III Opus V,0.0,0.0
Opus IV Opus VII,0.0,0.0
Opus VI Opus VII,0.0,0.0
Opus IV Opus VIII,0.0,0.0
Opus VI Opus X,0.0,0.0
Opus V Opus XII,0.0,0.0
Opus V Opus XI,0.0,0.0
Opus V Opus X,0.0,0.0
Opus V Opus VIII,0.0,0.0
Opus V Opus VII,0.0,0.0
Opus V Opus VI,0.0,0.0
Opus IX Opus XII,0.0,0.0
Opus IX Opus XI,0.0,0.0
Opus IX Opus X,0.0,0.0
Opus IX Opus VIII,0.0,0.0
Opus IX Opus VII,0.0,0.0
Opus IX Opus VI,0.0,0.0
Opus IX Opus V,0.0,0.0
Opus IV Opus XII,0.0,0.0
Opus IV Opus XI,0.0,0.0
Opus VI Opus XI,0.0,0.0
Opus IV Opus X,0.0,0.0
Opus VI Opus XII,0.0,0.0
Opus I Opus XI,0.0,0.0
Opus VII Opus VIII,0.0,0.0
Opus VII Opus X,0.0,0.0
Opus VII Opus XI,0.0,0.0
Opus VII Opus XII,0.0,0.0
Opus VIII Opus X,0.0,0.0
Opus VIII Opus XI,0.0,0.0
Opus VIII Opus XII,0.0,0.0
Opus I Opus XII,0.0,0.0
FF: Promo Cards Opus VIII,0.0,0.0
Opus I Opus X,0.0,0.0
Rare Starter,0.0,0.0
Promo Opus XI,0.0,0.0
Promo Opus X,0.0,0.0
Promo Opus VIII,0.0,0.0
Promo Opus VII,0.0,0.0
Promo Opus VI,0.0,0.0
Promo Opus V,0.0,0.0
Promo Opus IX,0.0,0.0
Promo Opus IV,0.0,0.0
Promo Opus III,0.0,0.0
Promo Opus II,0.0,0.0
Promo Opus I,0.0,0.0
Promo Starter,0.0,0.0
Promo Rare,0.0,0.0
Full Art Opus I,0.0,0.0
Full Art Opus II,0.0,0.0
Full Art Opus III,0.0,0.0
Full Art Opus IV,0.0,0.0
Full Art Opus V,0.0,0.0
Full Art Opus VI,0.0,0.0
Full Art Opus VII,0.0,0.0
Full Art Opus VIII,0.0,0.0
Hero Starter,0.0,0.0
Legend Starter,0.0,0.0
Legend Rare,0.0,0.0
Legend Promo,0.0,0.0
Promo Opus XII,0.0,0.0
Hero Rare,0.0,0.0
Opus I Opus VIII,0.0,0.0
Hero Promo,0.0,0.0
Opus I Opus VII,0.0,0.0
Opus I Opus VI,0.0,0.0
Opus I Opus V,0.0,0.0
Opus I Opus IX,0.0,0.0
Opus I Opus IV,0.0,0.0
Opus I Opus III,0.0,0.0
Opus I Opus II,0.0,0.0
FF: Promo Cards Opus XII,0.0,0.0
FF: Promo Cards Opus XI,0.0,0.0
FF: Promo Cards Opus X,0.0,0.0
FF: Promo Cards Opus VII,0.0,0.0
FF: Promo Cards Opus VI,0.0,0.0
FF: Promo Cards Opus V,0.0,0.0
FF: Promo Cards Opus IX,0.0,0.0
FF: Promo Cards Opus IV,0.0,0.0
FF: Promo Cards Opus III,0.0,0.0
FF: Promo Cards Opus II,0.0,0.0
FF: Promo Cards Opus I,0.0,0.0
Starter Opus XII,0.0,0.0
Starter Opus VI,0.0,0.0
Starter Opus IX,0.0,0.0
Starter Opus IV,0.0,0.0
Starter Opus II,0.0,0.0
Starter FF: Promo Cards,0.0,0.0
Hero Legend,0.0,0.0
Opus XI Opus XII,0.0,0.0
